,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,65,20,18.41,few clouds
80,Marystown,CA,47.1666,-55.1483,34.86,100,93,7.0,overcast clouds
81,Kalianget,ID,-7.05,113.9333,79.63,86,95,13.69,overcast clouds
82,Butaritari,KI,3.0707,172.7902,80.74,83,100,13.53,moderate rain
83,Nabire,ID,-3.3667,135.4833,74.97,93,95,3.58,overcast clouds
84,Puerto Ayora,EC,-0.7393,-90.3518,87.76,86,88,8.01,overcast clouds
85,Villazon,BO,-22.0866,-65.5942,60.49,52,85,15.39,overcast clouds
86,Galiakot,IN,23.5167,74.0,72.79,25,1,3.4,clear sky
87,Blackwater,AU,-23.5833,148.8833,85.23,32,0,9.31,light rain
88,Narsaq,GL,60.9167,-46.05,23.22,94,100,6.22,snow
89,Caravelas,BR,-17.7125,-39.2481,77.81,80,100,6.62,overcast clouds
90,Kodiak,US,57.79,-152.4072,35.11,93,100,24.16,moderate rain
91,Laguna,US,38.421,-121.4238,76.24,39,0,8.05,clear sky
92,Egvekinot,RU,66.3167,-179.1667,10.4,80,3,7.11,clear sky
93,Nikolskoye,RU,59.7035,30.7861,33.87,88,100,4.29,overcast clouds
94,Buin,CL,-33.7333,-70.75,89.92,28,0,11.3,clear sky
95,Khatanga,RU,71.9667,102.5,-2.33,88,100,7.85,overcast clouds
96,Bathsheba,BB,13.2167,-59.5167,77.61,78,75,17.27,broken clouds
97,Guerrero Negro,MX,27.9769,-114.0611,72.1,38,99,12.03,overcast clouds
98,Tiksi,RU,71.6872,128.8694,-24.2,100,75,1.25,broken clouds
99,East London,ZA,-33.0153,27.9116,72.64,77,97,11.27,overcast clouds
100,Lishan,CN,31.8576,113.2951,48.83,65,19,1.57,few clouds
101,Clyde River,CA,70.4692,-68.5914,1.63,85,100,29.93,heavy snow
102,Mahebourg,MU,-20.4081,57.7,79.09,94,75,11.5,broken clouds
103,Avarua,CK,-21.2078,-159.775,86.05,74,20,10.36,few clouds
104,Kismayo,SO,-0.3582,42.5454,78.33,84,38,15.5,scattered clouds
105,Tekeli,KZ,44.83,78.8239,31.95,98,98,2.51,light snow
106,Hovd,MN,48.0056,91.6419,10.53,65,78,9.22,broken clouds
107,Wattegama,LK,6.7989,81.4808,71.73,90,100,6.15,overcast clouds
108,Tondano,ID,1.3038,124.9112,66.29,92,99,1.36,overcast clouds
