City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,San Cristobal,7.7669,-72.225,68.18,73,97,3.29,VE,2022-02-25 15:32:44
68,Dzhebariki-Khaya,62.2167,135.8,-15.61,100,100,0.25,RU,2022-02-25 15:32:44
69,Kalcheva,45.7374,28.8141,46.47,39,37,5.44,UA,2022-02-25 15:32:45
70,Hermanus,-34.4187,19.2345,78.91,75,64,15.21,ZA,2022-02-25 15:32:45
71,Tuktoyaktuk,69.4541,-133.0374,-23.8,69,0,8.05,CA,2022-02-25 15:32:45
72,Georgetown,5.4112,100.3354,78.73,92,40,8.05,MY,2022-02-25 15:32:30
73,Lang Suan,9.9456,99.0785,77.41,83,100,8.57,TH,2022-02-25 15:32:46
74,Kaitangata,-46.2817,169.8464,53.62,86,84,5.39,NZ,2022-02-25 15:32:46
75,Butaritari,3.0707,172.7902,80.67,79,96,19.57,KI,2022-02-25 15:32:47
76,Port Elizabeth,-33.918,25.5701,76.1,78,75,16.11,ZA,2022-02-25 15:28:15
77,Meulaboh,4.1363,96.1285,77.86,84,95,2.35,ID,2022-02-25 15:32:47
78,Waipawa,-41.4122,175.5153,52.43,94,35,3.85,NZ,2022-02-25 15:32:47
79,Tasiilaq,65.6145,-37.6368,23.16,62,100,52.66,GL,2022-02-25 15:32:48
80,Bull Savanna,17.8868,-77.5902,79.07,60,27,10.58,JM,2022-02-25 15:32:48
81,Zarate,-34.0981,-59.0286,83.82,16,0,4.38,AR,2022-02-25 15:30:12
82,Blind River,46.1834,-82.9582,12.31,60,96,6.8,CA,2022-02-25 15:32:49
83,Enid,36.3956,-97.8784,19.31,69,0,4.61,US,2022-02-25 15:32:49
84,Upernavik,72.7868,-56.1549,-7.51,82,94,8.03,GL,2022-02-25 15:32:49
85,Chuy,-33.6971,-53.4616,84.38,53,26,5.21,UY,2022-02-25 15:32:50
86,Puerto Penasco,31.3167,-113.5333,44.58,45,40,6.91,MX,2022-02-25 15:32:50
87,Kavieng,-2.5744,150.7967,81.61,77,100,8.93,PG,2022-02-25 15:32:50
88,Nykoping,58.753,17.0079,41.43,78,0,16.11,SE,2022-02-25 15:32:51
89,Neryungri,56.6709,124.6491,-2.51,95,100,8.23,RU,2022-02-25 15:32:51
90,Sorong,-0.8833,131.25,79.54,79,100,9.93,ID,2022-02-25 15:32:52
91,Lugoba,-6.45,38.3333,76.57,87,94,5.1,TZ,2022-02-25 15:32:52
92,Olbia,40.9214,9.4856,59.05,47,75,20.71,IT,2022-02-25 15:33:52
93,Kruisfontein,-34.0033,24.7314,73.89,71,99,17.22,ZA,2022-02-25 15:33:53
94,Dicabisagan,17.0818,122.4157,74.07,89,100,10.04,PH,2022-02-25 15:33:53
95,La Paz,-16.5,-68.15,57.18,66,75,11.5,BO,2022-02-25 15:30:04
96,Faya,18.3851,42.4509,66.31,71,7,7.43,SA,2022-02-25 15:33:54
97,Quang Ngai,15.1167,108.8,67.82,87,100,4.99,VN,2022-02-25 15:33:54
98,Lebu,-37.6167,-73.65,64.72,69,67,11.88,CL,2022-02-25 15:33:54
99,Impfondo,1.6381,18.0667,94.06,28,82,1.45,CG,2022-02-25 15:33:55
100,Vrindavan,27.5833,77.7,64.33,56,21,11.21,IN,2022-02-25 15:33:55
101,Waspan,14.7419,-83.9717,82.08,54,24,6.08,NI,2022-02-25 15:33:55
102,Aklavik,68.2191,-135.0107,-19.37,99,16,1.41,CA,2022-02-25 15:33:56
103,Ilulissat,69.2167,-51.1,3.22,85,75,6.91,GL,2022-02-25 15:33:56
104,Narsaq,60.9167,-46.05,35.82,79,100,7.07,GL,2022-02-25 15:33:57
105,Nevers,46.9167,3.3333,48.79,57,0,8.05,FR,2022-02-25 15:33:57
106,Nome,64.5011,-165.4064,35.67,75,0,12.66,US,2022-02-25 15:33:57
107,Ibimirim,-8.5406,-37.6903,94.75,26,87,10.89,BR,2022-02-25 15:33:57
108,Kuusamo,65.9667,29.1833,30.24,80,75,10.36,FI,2022-02-25 15:33:58
109,Jega,12.2175,4.3792,96.76,6,3,12.33,NG,2022-02-25 15:33:58
110,Hay River,60.8156,-115.7999,8.58,85,75,3.44,CA,2022-02-25 15:30:12
111,Tuatapere,-46.1333,167.6833,56.82,90,100,11.56,NZ,2022-02-25 15:33:59
112,Kattivakkam,13.2167,80.3167,80.08,73,9,7.54,IN,2022-02-25 15:33:59
113,Nioro,13.35,-15.75,100.22,12,2,7.74,GM,2022-02-25 15:33:59
114,Castro,-24.7911,-50.0119,82.51,50,100,4.05,BR,2022-02-25 15:34:00
115,Cabedelo,-6.9811,-34.8339,88.47,61,75,13.38,BR,2022-02-25 15:34:00
116,Port Alfred,-33.5906,26.891,74.53,71,7,21.56,ZA,2022-02-25 15:34:00
117,Pemba,-12.974,40.5178,84.9,79,75,5.75,MZ,2022-02-25 15:34:01
118,Sulangan,11.1373,123.7228,80.11,79,100,15.88,PH,2022-02-25 15:34:01
119,Norman Wells,65.282,-126.8329,12.24,57,75,8.05,CA,2022-02-25 15:34:01
120,Bam,29.106,58.357,66.61,24,1,4.47,IR,2022-02-25 15:34:02
121,Poum,-20.2333,164.0167,76.8,88,100,7.07,NC,2022-02-25 15:34:02
122,Skibbereen,51.55,-9.2667,51.12,81,93,15.93,IE,2022-02-25 15:34:03
123,Broken Hill,-31.95,141.4333,78.51,38,2,12.66,AU,2022-02-25 15:31:25
124,Sikeston,36.8767,-89.5879,28.33,80,75,3.44,US,2022-02-25 15:34:03
125,Khatanga,71.9667,102.5,-28.1,95,56,2.46,RU,2022-02-25 15:34:04
126,Yaring,6.8662,101.3689,77.29,90,100,20.58,TH,2022-02-25 15:34:04
127,Victoria,22.2855,114.1577,61.09,81,10,10.56,HK,2022-02-25 15:30:54
128,Katobu,-4.9408,122.5276,74.77,89,78,2.35,ID,2022-02-25 15:34:05
129,Russell,32.3502,-85.1999,72.55,79,100,8.05,US,2022-02-25 15:30:13
130,Tessalit,20.1986,1.0114,92.01,7,13,10.89,ML,2022-02-25 15:34:05
131,Provideniya,64.3833,-173.3,32.02,98,100,10.04,RU,2022-02-25 15:34:06
132,Caravelas,-17.7125,-39.2481,86.65,57,6,8.97,BR,2022-02-25 15:34:07
133,Geraldton,-28.7667,114.6,73.81,78,47,12.66,AU,2022-02-25 15:34:07
134,Sur,22.5667,59.5289,73.69,67,6,1.5,OM,2022-02-25 15:34:07
135,Ponta Do Sol,32.6667,-17.1,63.72,73,71,7.78,PT,2022-02-25 15:34:08
136,Dingle,10.9995,122.6711,74.37,91,100,7.83,PH,2022-02-25 15:35:08
137,Katsuura,35.1333,140.3,42.91,52,2,7.78,JP,2022-02-25 15:35:09
138,Kavaratti,10.5669,72.642,81.23,71,3,8.25,IN,2022-02-25 15:35:09
139,Luderitz,-26.6481,15.1594,75.74,60,0,31.09,NA,2022-02-25 15:35:10
140,Lang Son,21.8333,106.7333,55.35,77,2,0.76,VN,2022-02-25 15:35:10
141,Bredasdorp,-34.5322,20.0403,75.27,64,38,10.36,ZA,2022-02-25 15:35:11
142,Mount Gambier,-37.8333,140.7667,57.11,88,75,9.22,AU,2022-02-25 15:35:11
143,Sao Paulo De Olivenca,-3.3783,-68.8725,84.31,75,78,2.8,BR,2022-02-25 15:35:11
144,Vanimo,-2.6741,141.3028,76.93,92,100,8.9,PG,2022-02-25 15:35:12
145,Comodoro Rivadavia,-45.8667,-67.5,73.26,28,40,14.97,AR,2022-02-25 15:35:12
146,Yellowknife,62.456,-114.3525,10.92,72,75,9.22,CA,2022-02-25 15:35:13
147,Hithadhoo,-0.6,73.0833,83.19,73,23,6.91,MV,2022-02-25 15:35:13
148,Biggar,55.6167,-3.5167,46.09,84,92,9.78,GB,2022-02-25 15:35:14
149,Avarua,-21.2078,-159.775,80.65,83,40,9.22,CK,2022-02-25 15:35:14
150,Sobolevo,54.4299,31.8996,33.3,95,100,10.13,RU,2022-02-25 15:35:14
151,Mahebourg,-20.4081,57.7,81.25,89,40,3.44,MU,2022-02-25 15:35:15
152,Palauig,15.435,119.9045,77.2,76,3,6.8,PH,2022-02-25 15:35:15
153,Ust-Nera,64.5667,143.2,-6.72,99,100,4.68,RU,2022-02-25 15:35:16
154,Saint-Joseph,-21.3667,55.6167,79.18,85,77,5.95,RE,2022-02-25 15:35:16
155,Ahipara,-35.1667,173.1667,61.05,86,50,3.31,NZ,2022-02-25 15:35:17
156,Mar Del Plata,-38.0023,-57.5575,83.08,47,0,18.41,AR,2022-02-25 15:31:20
157,Kaeo,-35.1,173.7833,60.33,94,1,5.1,NZ,2022-02-25 15:35:17
158,Shieli,44.1667,66.75,45.27,62,34,7.09,KZ,2022-02-25 15:35:17
159,Margate,51.3813,1.3862,52.97,55,4,7.0,GB,2022-02-25 15:35:18
160,Bac Lieu,9.285,105.7244,79.74,72,95,23.87,VN,2022-02-25 15:35:18
161,Vuktyl,63.8567,57.3094,24.03,95,100,11.97,RU,2022-02-25 15:35:19
162,Metro,-5.1131,105.3067,75.72,84,100,4.38,ID,2022-02-25 15:35:19
163,San Policarpo,12.1791,125.5072,79.95,79,100,16.82,PH,2022-02-25 15:35:19
164,San Francisco,37.7749,-122.4194,45.95,85,0,3.44,US,2022-02-25 15:33:24
165,Misratah,32.3754,15.0925,62.33,46,100,4.83,LY,2022-02-25 15:35:20
166,Pontes E Lacerda,-15.2261,-59.3353,86.94,66,51,2.91,BR,2022-02-25 15:32:55
167,Alta Floresta,-9.8756,-56.0861,91.22,62,40,8.05,BR,2022-02-25 15:35:21
168,Vestmanna,62.1564,-7.1664,36.52,70,100,24.16,FO,2022-02-25 15:35:21
169,Lompoc,34.6391,-120.4579,56.12,78,0,8.99,US,2022-02-25 15:35:21
170,Kramat,-8.1311,113.4499,73.99,94,88,2.98,ID,2022-02-25 15:35:22
171,Laguna,38.421,-121.4238,44.44,81,0,3.44,US,2022-02-25 15:35:22
172,Bandarbeyla,9.4942,50.8122,77.54,73,10,12.08,SO,2022-02-25 15:35:23
173,General Pico,-35.6566,-63.7568,80.78,38,0,9.8,AR,2022-02-25 15:31:20
174,Nikel,69.4128,30.222,26.78,96,100,16.4,RU,2022-02-25 15:35:23
175,Iquique,-20.2208,-70.1431,73.44,73,87,8.52,CL,2022-02-25 15:30:29
176,Rock Sound,24.9,-76.2,74.61,65,39,16.67,BS,2022-02-25 15:35:24
177,Pierre,44.3683,-100.351,6.06,76,0,5.99,US,2022-02-25 15:33:03
178,Faanui,-16.4833,-151.75,81.73,72,10,13.38,PF,2022-02-25 15:35:24
179,Prince Rupert,54.3161,-130.3201,37.09,86,75,19.57,CA,2022-02-25 15:33:27
180,Payakumbuh,-0.2202,100.6308,70.32,98,100,2.75,ID,2022-02-25 15:35:25
